CODAUTO,year,EV0,I_salud
17,1997,80.44,0.9298461538461538
17,1998,80.3,0.9276923076923076
17,1999,79.71,0.9186153846153845
17,2000,81.0,0.9384615384615385
17,2001,81.56,0.9470769230769231
17,2002,81.14,0.9406153846153846
17,2003,81.21,0.9416923076923076
17,2004,82.17,0.9564615384615385
17,2005,81.52,0.9464615384615384
17,2006,82.81,0.9663076923076923
17,2007,82.49,0.9613846153846153
17,2008,82.98,0.968923076923077
17,2009,83.93,0.9835384615384617
17,2010,84.24,0.9883076923076922
17,2011,84.08,0.9858461538461538
17,2012,84.13,0.9866153846153846
17,2013,85.02,1.0
17,2014,85.28,1.0
17,2015,84.76,0.9963076923076923
17,2016,85.78,1.0
17,2017,85.39,1.0
17,2018,85.32,1.0
17,2019,85.82,1.0
17,2020,83.49,0.9767692307692307
17,2021,84.75,0.9961538461538462
17,2022,84.81,0.9970769230769231
17,2023,86.35,1.0
18,1991,74.72,0.8418461538461538
18,1992,75.59,0.8552307692307692
18,1993,75.56,0.8547692307692308
18,1994,76.41,0.8678461538461538
18,1995,76.61,0.8709230769230769
18,1996,75.54,0.8544615384615386
18,1997,76.1,0.863076923076923
18,1998,76.16,0.864
18,1999,76.37,0.8672307692307692
18,2000,78.27,0.8964615384615384
18,2001,78.11,0.894
18,2002,76.86,0.8747692307692307
18,2003,78.03,0.8927692307692308
18,2004,78.01,0.8924615384615385
18,2005,78.31,0.8970769230769231
18,2006,78.65,0.9023076923076924
18,2007,78.14,0.8944615384615384
18,2008,79.53,0.9158461538461539
18,2009,78.39,0.8983076923076924
18,2010,78.99,0.9075384615384614
18,2011,79.74,0.919076923076923
18,2012,80.86,0.9363076923076923
18,2013,79.79,0.919846153846154
18,2014,81.13,0.9404615384615383
18,2015,81.26,0.9424615384615386
18,2016,82.44,0.9606153846153845
18,2017,80.89,0.9367692307692308
18,2018,81.45,0.9453846153846154
18,2019,81.72,0.9495384615384616
18,2020,79.68,0.9181538461538462
18,2021,78.9,0.9061538461538462
18,2022,80.39,0.9290769230769231
18,2023,81.96,0.9532307692307691
19,1991,76.27,0.8656923076923076
19,1992,78.35,0.8976923076923076
19,1993,76.88,0.875076923076923
19,1994,74.93,0.8450769230769232
19,1995,76.56,0.8701538461538462
19,1996,77.25,0.8807692307692307
19,1997,76.31,0.8663076923076923
19,1998,75.43,0.8527692307692308
19,1999,77.57,0.8856923076923076
19,2000,77.14,0.8790769230769231
19,2001,77.91,0.8909230769230768
19,2002,77.37,0.8826153846153847
19,2003,77.37,0.8826153846153847
19,2004,77.8,0.8892307692307692
19,2005,79.18,0.9104615384615385
19,2006,78.45,0.8992307692307693
19,2007,79.78,0.9196923076923077
19,2008,78.77,0.9041538461538461
19,2009,81.49,0.946
19,2010,81.8,0.9507692307692307
19,2011,80.34,0.9283076923076924
19,2012,81.26,0.9424615384615386
19,2013,80.99,0.9383076923076922
19,2014,80.84,0.936
19,2015,80.31,0.9278461538461539
19,2016,81.0,0.9384615384615385
19,2017,81.22,0.9418461538461538
19,2018,80.9,0.936923076923077
19,2019,81.5,0.9461538461538461
19,2020,79.67,0.918
19,2021,80.29,0.9275384615384616
19,2022,82.35,0.9592307692307691
19,2023,82.72,0.9649230769230769
