mun_code,valor_mapa
05145,7885.63
05147,27217.27
05148,4785.48
05149,19804.66
05151,15727.34
05152,130875.22
05153,14462.82
05154,6110.17
05155,8767.37
05156,60641.6
05157,43326.58
05158,58597.8
05159,37481.94
05160,51045.7
05161,136033.05
05162,14323.1
05163,339699.46
05164,3136.78
05165,72885.8
05166,29772.9
05167,46955.94
05168,976056.98
05169,39479.88
05170,9406.86
05171,10828.13
05172,32668.12
05173,16031.73
05174,13277.43
05175,29152.52
05176,46931.91
05177,25781.45
05178,72066.13
05179,40808.1
05180,11170.46
05181,8245.29
05182,140267.01
05183,23520.48
05184,53829.27
05185,17204.59
05186,313778.09
05187,347998.54
05188,7556.89
05189,74611.13
05190,8842.09
05191,20708.53
05192,18100.98
05193,31015.51
05194,23712.56
05195,37105.37
05196,11621.38
05197,20245.88
05198,12605.15
05199,5995.38
05200,7663.44
05201,89837.49
05204,135233.59
05205,15014.28
05206,5264.63
05207,122281.11
05208,6567.33
05209,12784.07
05210,14343.29
05211,76307.52
05212,33557.97
05213,16287.28
05214,5697.28
05215,28937.81
05216,34372.77
05217,9907.27
05218,19639.2
05219,7579.68
05220,77637.17
05221,56168.68
05222,29138.37
05224,18385.44
05225,67526.66
05226,11230.6
05227,81613.13
05228,34919.28
05229,15016.14
05230,11370.33
05231,29322.66
05232,19935.58
05233,41409.63
05234,8267.82
05235,26185.1
05236,20321.72
05237,25605.33
05238,138722.1
05239,41341.33
05240,773096.6
05241,707120.81
05242,146672.62
05243,14720.83
05244,6892.67
05245,73605.73
05246,8838.05
05247,40017.18
05249,17510.14
05251,9902.2
05252,10263.37
05253,14805.34
05254,36229.18
05256,20200.63
05257,23053.76
05258,19370.25
05259,20182.69
05260,17440.8
05261,6183.8
05262,57420.12
05263,26801.54
05264,10227.09
05265,14521.67
05266,16703.96
05267,20303.22
05901,44849.53
05902,53041.64
05903,25098.54
05904,23442.77
05905,40526.3
06001,154202.32
06002,1089157.67
06003,153874.88
06004,323332.78
06005,385798.58
06006,1069097.76
06007,309344.04
06008,141037.6
06009,47019.41
06010,233956.02
06011,6953380.85
06012,748894.27
06013,58217.64
06014,1634498.06
06016,643456.07
06017,51602.67
06018,140166.31
06019,432742.23
06020,401917.92
06021,205466.41
06022,551046.39
06023,853945.11
06024,242303.99
06025,1298069.59
06026,184045.27
06027,141093.08
06028,873128.35
06029,261661.34
06030,34411.6
06031,94971.03
06032,14898.29
06033,251650.73
