codigo_municipio,nombre_municipio,latitud,longitud
40029,Bercimuel,41.398892435695124,-3.565673220798296
40073,Escalona del Prado,41.16259758561481,-4.114924661495435
40078,Fresneda de Cuéllar,41.307735840200635,-4.455928157112158
40151,Ortigosa de Pestaño,41.08978580675118,-4.392467072555205
40162,Prádena,41.144305826020286,-3.689147777696836
40194,Segovia,40.90243556732501,-4.168816568585318
40210,Urueñas,41.35754888132295,-3.7573974760439346
41027,Castilblanco de los Arroyos,37.715158355902794,-5.983543348297305
41061,Marinaleda,37.37197297712793,-4.942133470480632
41074,Peñaflor,37.73138051955571,-5.36523770244631
42003,Adradas,41.34569552291612,-2.4931798267120118
42024,Arancón,41.78489795742521,-2.2542631652035596
42028,Ausejo de la Sierra,41.90682490008738,-2.363457639511474
42032,Bayubas de Abajo,41.5104554311032,-2.9089380009429235
42056,Castilfrío de la Sierra,41.927855042896155,-2.297938236271677
42176,Tajahuerce,41.74977993853151,-2.1646591534573814
42196,Valdeprado,41.957133720292674,-2.134260164312785
42206,Villanueva de Gormaz,41.4658365012612,-3.055053649356919
43021,Barberà de la Conca,41.41114633114366,1.2291824897414598
43069,Gratallops,41.19139005014702,0.772411275018953
43083,El Milà,41.25138841408258,1.2062209367832923
43091,Mont-ral,41.292752015828654,1.0918616830332524
43100,Els Pallaresos,41.168284516991825,1.2600060675486235
43139,Santa Coloma de Queralt,41.5460914012084,1.3958945110797174
44028,Argente,40.69906292437633,-1.1789899210069499
44044,Bordón,40.68867534776425,-0.3435498564492438
44100,Estercuel,40.88376618348129,-0.6272240455251237
44164,Nogueras,41.14282712858788,-1.0777833214397943
44174,Orihuela del Tremedal,40.548990594148734,-1.638417419243996
44178,Las Parras de Castellote,40.76901162255299,-0.24503265667316493
44185,El Pobo,40.50295146371831,-0.8715048526471485
44197,Ródenas,40.62074440847397,-1.5189965039637905
44238,Utrillas,40.80076095117152,-0.8805401746214138
44262,Villarroya de los Pinares,40.5118782734283,-0.6478074446701562
45027,Cabezamesada,39.82529438355828,-3.091527469916509
45079,La Iglesuela del Tiétar,40.23999926068768,-4.743798097810818
45082,Lagartera,39.98258866257261,-5.235067086189967
45113,Los Navalucillos,39.574734724497205,-4.676668191213146
45119,Numancia de la Sagra,40.07725722813086,-3.8281162375356392
