ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
02,Aragón,2024,"Segunda etapa de educación secundaria, con orientación general",12.55,5.0
02,Aragón,2025,Analfabetos,1.0,1.0
02,Aragón,2025,Educación primaria,12.1,3.0
02,Aragón,2025,Educación superior,32.5,7.0
02,Aragón,2025,Estudios primarios incompletos,2.2,2.0
02,Aragón,2025,Primera etapa de Educación Secundaria y similar,29.1,
02,Aragón,2025,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.6,6.0
02,Aragón,2025,"Segunda etapa de educación secundaria, con orientación general",13.5,5.0
03,"Asturias, Principado de",2014,Analfabetos,0.6499999999999999,1.0
03,"Asturias, Principado de",2014,Educación primaria,23.0,3.0
03,"Asturias, Principado de",2014,Educación superior,29.575,7.0
03,"Asturias, Principado de",2014,Estudios primarios incompletos,4.875,2.0
03,"Asturias, Principado de",2014,Primera etapa de Educación Secundaria y similar,22.575,
03,"Asturias, Principado de",2014,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.05,6.0
03,"Asturias, Principado de",2014,"Segunda etapa de educación secundaria, con orientación general",12.275,5.0
03,"Asturias, Principado de",2015,Analfabetos,0.825,1.0
03,"Asturias, Principado de",2015,Educación primaria,21.95,3.0
03,"Asturias, Principado de",2015,Educación superior,30.4,7.0
03,"Asturias, Principado de",2015,Estudios primarios incompletos,4.7,2.0
03,"Asturias, Principado de",2015,Primera etapa de Educación Secundaria y similar,21.95,
03,"Asturias, Principado de",2015,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.15,6.0
03,"Asturias, Principado de",2015,"Segunda etapa de educación secundaria, con orientación general",13.05,5.0
03,"Asturias, Principado de",2016,Analfabetos,0.6,1.0
03,"Asturias, Principado de",2016,Educación primaria,22.8,3.0
03,"Asturias, Principado de",2016,Educación superior,31.2,7.0
03,"Asturias, Principado de",2016,Estudios primarios incompletos,3.625,2.0
03,"Asturias, Principado de",2016,Primera etapa de Educación Secundaria y similar,21.625,
03,"Asturias, Principado de",2016,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.275,6.0
03,"Asturias, Principado de",2016,"Segunda etapa de educación secundaria, con orientación general",12.925,5.0
03,"Asturias, Principado de",2017,Analfabetos,0.75,1.0
03,"Asturias, Principado de",2017,Educación primaria,20.425,3.0
03,"Asturias, Principado de",2017,Educación superior,32.075,7.0
03,"Asturias, Principado de",2017,Estudios primarios incompletos,2.75,2.0
03,"Asturias, Principado de",2017,Primera etapa de Educación Secundaria y similar,23.425,
03,"Asturias, Principado de",2017,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.45,6.0
03,"Asturias, Principado de",2017,"Segunda etapa de educación secundaria, con orientación general",13.1,5.0
03,"Asturias, Principado de",2018,Analfabetos,0.675,1.0
03,"Asturias, Principado de",2018,Educación primaria,18.35,3.0
03,"Asturias, Principado de",2018,Educación superior,32.45,7.0
03,"Asturias, Principado de",2018,Estudios primarios incompletos,3.175,2.0
03,"Asturias, Principado de",2018,Primera etapa de Educación Secundaria y similar,24.15,
03,"Asturias, Principado de",2018,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.85,6.0
03,"Asturias, Principado de",2018,"Segunda etapa de educación secundaria, con orientación general",13.375,5.0
03,"Asturias, Principado de",2019,Analfabetos,0.5,1.0
03,"Asturias, Principado de",2019,Educación primaria,15.1,3.0
03,"Asturias, Principado de",2019,Educación superior,32.5,7.0
