Municipios	Sexo	Periodo	Total
01 Araba/Álava	Hombres	2015	160.294
01 Araba/Álava	Hombres	2014	159.583
01 Araba/Álava	Hombres	2013	159.622
01 Araba/Álava	Hombres	2012	160.649
01 Araba/Álava	Hombres	2011	159.041
01 Araba/Álava	Hombres	2010	158.322
01 Araba/Álava	Hombres	2009	156.418
01 Araba/Álava	Hombres	2008	154.376
01 Araba/Álava	Hombres	2007	152.040
01 Araba/Álava	Hombres	2006	150.297
01 Araba/Álava	Hombres	2005	149.623
01 Araba/Álava	Hombres	2004	147.475
01 Araba/Álava	Hombres	2003	146.651
01 Araba/Álava	Hombres	2002	145.251
01 Araba/Álava	Hombres	2001	143.579
01 Araba/Álava	Hombres	2000	142.269
01 Araba/Álava	Hombres	1999	141.900
01 Araba/Álava	Hombres	1998	141.350
01 Araba/Álava	Hombres	1997	""
01 Araba/Álava	Hombres	1996	139.940
01 Araba/Álava	Mujeres	2024	172.222
01 Araba/Álava	Mujeres	2023	170.943
01 Araba/Álava	Mujeres	2022	169.827
01 Araba/Álava	Mujeres	2021	169.374
01 Araba/Álava	Mujeres	2020	169.416
01 Araba/Álava	Mujeres	2019	168.050
01 Araba/Álava	Mujeres	2018	166.693
01 Araba/Álava	Mujeres	2017	165.220
01 Araba/Álava	Mujeres	2016	163.886
01 Araba/Álava	Mujeres	2015	163.354
01 Araba/Álava	Mujeres	2014	162.349
01 Araba/Álava	Mujeres	2013	161.795
01 Araba/Álava	Mujeres	2012	161.908
01 Araba/Álava	Mujeres	2011	160.186
01 Araba/Álava	Mujeres	2010	159.030
01 Araba/Álava	Mujeres	2009	157.401
01 Araba/Álava	Mujeres	2008	155.259
01 Araba/Álava	Mujeres	2007	153.419
01 Araba/Álava	Mujeres	2006	151.629
01 Araba/Álava	Mujeres	2005	150.334
01 Araba/Álava	Mujeres	2004	148.430
01 Araba/Álava	Mujeres	2003	147.709
01 Araba/Álava	Mujeres	2002	146.609
01 Araba/Álava	Mujeres	2001	145.214
01 Araba/Álava	Mujeres	2000	144.228
01 Araba/Álava	Mujeres	1999	143.848
01 Araba/Álava	Mujeres	1998	143.245
01 Araba/Álava	Mujeres	1997	""
01 Araba/Álava	Mujeres	1996	141.881
